ORPHAcode_target;DiseaseName_target
1561;Fatal infantile cytochrome C oxidase deficiency
168598;Methionine adenosyltransferase I/III deficiency
199285;Hereditary hypercarotenemia and vitamin A deficiency
280586;Chondrodysplasia with joint dislocations, gPAPP type
284139;Larsen-like syndrome, B3GAT3 type
289290;Hypermethioninemia encephalopathy due to adenosine kinase deficiency
313850;Infantile cerebellar-retinal degeneration
319678;Encephalopathy-hypertrophic cardiomyopathy-renal tubular disease syndrome
394529;Multiple acyl-CoA dehydrogenase deficiency, severe neonatal type
394532;Multiple acyl-CoA dehydrogenase deficiency, mild type
401859;Lipoic acid synthetase deficiency
457185;Neonatal encephalomyopathy-cardiomyopathy-respiratory distress syndrome
521438;Congenital vertebral-cardiac-renal anomalies syndrome
528084;Non-specific syndromic intellectual disability
597733;Oculocutaneous albinism type 8
647782;Isolated micronodular adrenocortical disease
658778;COQ7-related distal hereditary motor neuropathy
90641;Rare mitochondrial non-syndromic sensorineural deafness
93602;Xanthinuria type II
98676;Autosomal recessive isolated optic atrophy
99731;Isolated sulfite oxidase deficiency
99849;Glycogen storage disease due to muscle beta-enolase deficiency
