ORPHAcode_target;DiseaseName_target;ORPHAcode_donor;DiseaseName_donor;Gene;Entry;EC;Rhea_ID;Cofactor;Pathway
247198;Progressive cerebello-cerebral atrophy;2524;Pontocerebellar hypoplasia type 2;SEPSECS;Q9HD40;2.9.1.2;RHEA:25041;pyridoxal 5'-phosphate;"Aminoacyl-tRNA biosynthesis;selenocysteinyl-tRNA(Sec) biosynthesis;selenocysteinyl-tRNA(Sec) from L-seryl-tRNA(Sec) (archaeal/eukaryal route): step 2/2. ."
254905;Isolated cytochrome C oxidase deficiency;550;MELAS;MT-CO1;P00395;7.1.1.9;RHEA:11436;heme;"Energy metabolism;oxidative phosphorylation. ."
254905;Isolated cytochrome C oxidase deficiency;550;MELAS;MT-CO2;P00403;7.1.1.9;RHEA:11436;heme;"Energy metabolism;oxidative phosphorylation. ."
254905;Isolated cytochrome C oxidase deficiency;550;MELAS;MT-CO3;P00414;7.1.1.9;RHEA:11436;heme;"Energy metabolism;oxidative phosphorylation. ."
293284;Tetrahydrobiopterin-responsive phenylketonuria;2209;Maternal phenylketonuria syndrome;PAH;P00439;1.14.16.1;RHEA:20273;Fe(2+);"Amino-acid degradation;L-phenylalanine degradation;acetoacetate and fumarate from L-phenylalanine: step 1/6."
369920;Pontocerebellar hypoplasia type 9;401805;Autosomal recessive spastic paraplegia type 63;AMPD2;Q01433;3.5.4.6;RHEA:14777;Zn(2+);"Purine metabolism;IMP biosynthesis via salvage pathway;IMP from AMP: step 1/1. ."
583602;Neu-Laxova syndrome due to phosphoserine aminotransferase deficiency;284417;Phosphoserine aminotransferase deficiency, infantile/juvenile form;PSAT1;Q9Y617;2.6.1.52;RHEA:14329;pyridoxal 5'-phosphate;"Amino-acid biosynthesis;L-serine biosynthesis;L-serine from 3-phospho-D-glycerate: step 2/3. ."
642099;Spondyloepimetaphyseal dysplasia with joint laxity, Beighton type;536467;B3GALT6-related spondylodysplastic Ehlers-Danlos syndrome;B3GALT6;Q96L58;2.4.1.134;RHEA:11780;Mn(2+);"Glycan metabolism;chondroitin sulfate biosynthesis. .;Glycan metabolism;heparan sulfate biosynthesis. ."
647772;Isolated primary pigmented nodular adrenocortical disease;1359;Carney complex;PDE11A;Q9HCR9;3.1.4.53;RHEA:25277;a divalent metal cation;"Purine metabolism;3',5'-cyclic AMP degradation;AMP from 3',5'-cyclic AMP: step 1/1."
647772;Isolated primary pigmented nodular adrenocortical disease;1359;Carney complex;PDE11A;Q9HCR9;3.1.4.53;RHEA:25277;Zn(2+);"Purine metabolism;3',5'-cyclic AMP degradation;AMP from 3',5'-cyclic AMP: step 1/1. ."
69723;Tyrosinemia type 3;2118;Hawkinsinuria;HPD;P32754;1.13.11.27;RHEA:16189;Fe cation;"Amino-acid degradation;L-phenylalanine degradation;acetoacetate and fumarate from L-phenylalanine: step 3/6."
708895;Tetrahydrobiopterin-unresponsive phenylketonuria;2209;Maternal phenylketonuria syndrome;PAH;P00439;1.14.16.1;RHEA:20273;Fe(2+);"Amino-acid degradation;L-phenylalanine degradation;acetoacetate and fumarate from L-phenylalanine: step 1/6."
90625;Rare X-linked non-syndromic sensorineural deafness type DFN;1187;Lethal ataxia with deafness and optic atrophy;PRPS1;P60891;2.7.6.1;RHEA:15609;Mg(2+);"Metabolic intermediate biosynthesis;5-phospho-alpha-D-ribose 1-diphosphate biosynthesis;5-phospho-alpha-D-ribose 1-diphosphate from D-ribose 5-phosphate (route I): step 1/1. ."
90625;Rare X-linked non-syndromic sensorineural deafness type DFN;411536;Mild phosphoribosylpyrophosphate synthetase superactivity;PRPS1;P60891;2.7.6.1;RHEA:15609;Mg(2+);"Metabolic intermediate biosynthesis;5-phospho-alpha-D-ribose 1-diphosphate biosynthesis;5-phospho-alpha-D-ribose 1-diphosphate from D-ribose 5-phosphate (route I): step 1/1. ."
90625;Rare X-linked non-syndromic sensorineural deafness type DFN;411543;Severe phosphoribosylpyrophosphate synthetase superactivity;PRPS1;P60891;2.7.6.1;RHEA:15609;Mg(2+);"Metabolic intermediate biosynthesis;5-phospho-alpha-D-ribose 1-diphosphate biosynthesis;5-phospho-alpha-D-ribose 1-diphosphate from D-ribose 5-phosphate (route I): step 1/1. ."
90625;Rare X-linked non-syndromic sensorineural deafness type DFN;423479;X-linked intellectual disability-limb spasticity-retinal dystrophy-arginine vasopressin deficiency;PRPS1;P60891;2.7.6.1;RHEA:15609;Mg(2+);"Metabolic intermediate biosynthesis;5-phospho-alpha-D-ribose 1-diphosphate biosynthesis;5-phospho-alpha-D-ribose 1-diphosphate from D-ribose 5-phosphate (route I): step 1/1. ."
90625;Rare X-linked non-syndromic sensorineural deafness type DFN;99014;X-linked Charcot-Marie-Tooth disease type 5;PRPS1;P60891;2.7.6.1;RHEA:15609;Mg(2+);"Metabolic intermediate biosynthesis;5-phospho-alpha-D-ribose 1-diphosphate biosynthesis;5-phospho-alpha-D-ribose 1-diphosphate from D-ribose 5-phosphate (route I): step 1/1. ."
