ORPHAcode_target;DiseaseName_target;dominant;no_match;recurrent;single_donor
1561;Fatal infantile cytochrome C oxidase deficiency;0;1;0;0
168598;Methionine adenosyltransferase I/III deficiency;0;1;0;0
199285;Hereditary hypercarotenemia and vitamin A deficiency;0;1;0;0
247198;Progressive cerebello-cerebral atrophy;0;0;0;40
254905;Isolated cytochrome C oxidase deficiency;0;0;0;87
280586;Chondrodysplasia with joint dislocations, gPAPP type;0;1;0;0
284139;Larsen-like syndrome, B3GAT3 type;0;1;0;0
289290;Hypermethioninemia encephalopathy due to adenosine kinase deficiency;0;1;0;0
293284;Tetrahydrobiopterin-responsive phenylketonuria;0;0;0;32
313850;Infantile cerebellar-retinal degeneration;0;1;0;0
319678;Encephalopathy-hypertrophic cardiomyopathy-renal tubular disease syndrome;0;1;0;0
369920;Pontocerebellar hypoplasia type 9;0;0;0;9
394529;Multiple acyl-CoA dehydrogenase deficiency, severe neonatal type;0;1;0;0
394532;Multiple acyl-CoA dehydrogenase deficiency, mild type;0;1;0;0
401859;Lipoic acid synthetase deficiency;0;1;0;0
457185;Neonatal encephalomyopathy-cardiomyopathy-respiratory distress syndrome;0;1;0;0
521438;Congenital vertebral-cardiac-renal anomalies syndrome;0;1;0;0
528084;Non-specific syndromic intellectual disability;0;1;0;0
583602;Neu-Laxova syndrome due to phosphoserine aminotransferase deficiency;0;0;0;40
597733;Oculocutaneous albinism type 8;0;1;0;0
642099;Spondyloepimetaphyseal dysplasia with joint laxity, Beighton type;0;0;0;83
647772;Isolated primary pigmented nodular adrenocortical disease;0;0;0;64
647782;Isolated micronodular adrenocortical disease;0;1;0;0
658778;COQ7-related distal hereditary motor neuropathy;0;1;0;0
69723;Tyrosinemia type 3;0;0;0;9
708895;Tetrahydrobiopterin-unresponsive phenylketonuria;0;0;0;32
90625;Rare X-linked non-syndromic sensorineural deafness type DFN;1;0;16;82
90641;Rare mitochondrial non-syndromic sensorineural deafness;0;1;0;0
93602;Xanthinuria type II;0;1;0;0
98676;Autosomal recessive isolated optic atrophy;0;1;0;0
99731;Isolated sulfite oxidase deficiency;0;1;0;0
99849;Glycogen storage disease due to muscle beta-enolase deficiency;0;1;0;0
